id,for,by,meetDate,meetLocation,type,duration,price,recommended,visitAgain,valueForMoney,overallRatings,venue.description,venue.score,meeting.description,meeting.score,worker.attributes.physical.description,worker.attributes.physical.score,worker.attributes.personality.description,worker.attributes.personality.score,worker.attributes.service.description,worker.attributes.service.score
3592995,Curvy_AnneMarie,Member Not Active,Monday 29 May,Edinburgh,Out-call,1 hour,£140,Yes,Yes,Excellent,5,"Met at her hotel room

Very clean
Yes
Was ok for Edinburgh
Yes
Yes

Yes
Yes",05-Oct,"I think she enjoyed our time together doesn't watch the clock at all We'd met together the day before and I had to have more so arranged another met but this time for longer this time we did a bit of role play with her playing my friends mum which was unbelievable hot.

She started off playing with my cock then started to do an amazing OWC. Then I licked her sweet pussy which tasted amazing and was so responsive. I then cummed in her mouth which she swallowed without hesitation.

After that I fingered her to cumming her pussy got so wet. Then I started to fuck her she does an amazing doggy style. Then I cum all over her tits I'm sure that I cum more The second time. I'll be keeping an eye out for when she is next back in Edinburgh for some more fun.",05-Oct,,,,,,
3592995,Curvy_AnneMarie,Gregthoms321,Monday 20 February,Cardiff,In-call,1 hour(s),£120,Yes,Yes,Excellent,9.2,"Met at a hotel on outskirts of Cardiff. Annmarie was on tour.
Clean and safe. No inquisitive staff.",08-Oct,"I arranged the appointment on adultwork and by text. I had sent Annmarie a scenario and she fulfilled my fantasy.
Within minutes of meeting Annmarie i knew i had made the right choice. She put me at ease and she is such a lovely woman.
She started by making me strip and subjected me to a good hour of verbal humiliation all the time making me wank. I was mocked for the size of my cock. I was made to tell her my sexual shortcomings, my inability to satisfy a woman. Nearly all I confessed to her was true and i was rightly mocked and teased. She spanked me and stuck fingers up my bum.
At the end of the session Annmarie made me wank over her extremely lovely breasts. I ejaculated within a second of her ordering me to cum.
I was made to stand while Annmarie took a photo of my cum on her breasts. This photo was then uploaded to her twitter to further humiliate me.
Thanks Annmarie. It was a great hour",10-Oct,,,,,,
3592995,Curvy_AnneMarie,santasno1elf,Saturday 17 December,Ashford,In-call,1,100,Yes,Yes,Excellent,10,"The venue was a smart local hotel.

It had an alternative entrance away from reception to keep things nice a discrete

Anne Marie also had a room which was easy to find",10-Oct,"My booking with Anne Marie was one of those lucky punts that were not planned or expected.

I happened to do a local search and saw she was on tour in ashford

I pulled up her profile and then her private pics and liked what i saw, she was also on cam that night so i went in and had a chat

I thought she was amazing so booked for the morning.

She did an early bird before 8am for a discount, which was not an issue but it allowed me to visit before work, which was great for me

I went to the hotel, nice and secure and discrete and easy to get to.

She let me know the room and when i got there she answered the door dressed as she is in her photos in a nice figure hugging dress and stockings etc

Paperwork sorted and we sat on bed and chatted for a little while, then we started removing clothes and exploring

I wanted a gentle gfe and that exactly what i got

No rushing, plenty of oral both ways and 69, She does appear to like to receive oral, i know i love giving it.

unfortunately my height and the bed height went against us for a decent doggy, but had a lovely view as i put her legs over my shoulders, and the view of those tits in my face as she rode me.i will never forget

All the way through lots of kissing and touching

To me, its these sorts of things that make a meet so much better

No clock watching, in fact i think we over run as i had a stubborn cock that would not cum, then at the end a random cum shot that surprised us both, especially how far it sprayed, think we found most of it and cleaned up, rofl

Would i see her again, of course, i have already checked if she plans to tour this way again, so fingers crossed

I hope she enjoyed herself as much as i did

I hope you all treat her with respect as she is one of the rare ones, that offers exactly what she says and makes you feel so glad you chose her

very very pleased",10-Oct,,,,,,
3592995,Curvy_AnneMarie,doolittle,Monday 14 November,brighton,In-call,1 hour(s),£120,Yes,Yes,Excellent,10,"Incall to a flat – clean, discreet and easy to find. I took public transport but the streets looked ok to park on.",10-Oct,"I had a fantastic time with Anne Marie – she was enthusiastic in all aspects of our meeting and seemed to genuinely enjoy our time together. After paperwork was out of the way, we kissed for an age when I arrived as my hands explored her lovely curves. This obviously led to clothes being removed and me caressing her smooth skin. We then ended up on the bed where we kissed some more (a lot more) and I explored her soft wet pussy. Anne Marie was very receptive to the attention of my tongue and was vocal in her enjoyment. After her heart stopped beating so fast (her words not mine) she returned the favour on me with one of the best blowjobs i have ever experienced – if you like oral then you'll love Anne Marie! She was very patient with me as it would have been far too easy to finish early – she was that good. After a rest and a massage, on with the condom and we had sex in a couple of positions before I could last no longer. She didn't keep an eye on the clock and was in no hurry to kick me out. A fantastic start to the week and an experience I intend repeating soon!",10-Oct,,,,,,
3592995,Curvy_AnneMarie,Member Not Active,Tuesday 8 November,London,In-call,1hr,120,Yes,Yes,Excellent,10,Reasonable hotel city of London. Very discrete. No problems with nosey staff.,10-Oct,"Arranged to see Annemarie after camming with her. Couldn't believe my luck she was on tour in London on the same day I had to attend a meeting in the city.

Phone Annemarie from outside the hotel as arranged. Was in the room in less than five minutes.

Not going to go into details but the meeting was everything and more that I wanted.
Really lovely warm kind lady. Will arrange to see her the next time she is in London.

She was dressed exactly as I had requested. She made went out of her way to make the meeting memorable. Great sexy lady.",10-Oct,,,,,,
3592995,Curvy_AnneMarie,shakalate,Monday 26 September,Brighton,In-call,0.5 hour(s,£80,Yes,Yes,Excellent,10,Lovely flat in a lovely area. Very clean and tidy and welcoming just like she was. Discreet location and very quiet and safe part of the city.,10-Oct,"I felt curvy_annemarie was very genuine and welcoming. When i arrived and saw her, i couldnt believe how sexy she was in real life, even better than the photos which i liked. She offered me a bath/shower before the date, and i couldnt wait to see her. When i finally got ready, i couldnt wait. I caressed her all over and got my lips onto her beautiful big boobs. I kissed her all over and i could feel her getting warm and excited. It felt like i was with a girlfriend during the honeymoon phase were i cant keep my hands off her! One thing led to another and before i knew it she was on top of me, giving me the ride of my life while i held on. It was so sexy being underneath her jiggling juggs. In no time i was behind her and i was so turned on by her curvaceous body. We were at for a while and then i couldnt hold back anymore. Our date was on time and it all ended naturally i didnt feel rushed. She was helped clean me up and was so nice and tender. What a lovely lady she is, definitely someone i'd like to visit again.",10-Oct,,,,,,
3592995,Curvy_AnneMarie,ianluvstoplay123,Saturday 23 July,Gatwick,In-call,0.5 hour(s,£60,Yes,Yes,Excellent,9,"This was a hotel close to Gatwick Airport and it has free parking with a code. Being one of the big chain hotels, it was clean and modern.

Not far from the A23 and m23 and on the main road, so with a sat nav it is easy to find.

Anne Marie had booked a room and I went straight up in the lift with no problems at all and not even a glance from the receptionist.",09-Oct,"Anne Marie was vocal to the extent we turned the television up to cover her moans of pleasure!!!

She seemed to really enjoy our sexual adventure which turned me on more.

Shower was offered and used before and after.

She is a bbw which is exactly the type of figure I like.

I was a few minutes late but Anne Marie was patient on the phone and welcoming when I arrived. Money changed hands first at her request (fair enough) and then she was all mine, doing just as I said and presenting herself up to me to play with as she moaned her pleasure.

We had a bit of dirty chat as I pushed my cock home and this seems to really turn her on as well.

Anne Marie was not a clock watcher and chatted to me afterwards about her future plans to be available at the hotel, which is great for me as these are the best venues for fun. This is not a down market lady and I think she was receptive and enjoyed me and my cock.",09-Oct,,,,,,
3592995,Curvy_AnneMarie,chrismilf,Saturday 11 June,London,In-call,One hour,One hundred pounds,Yes,Yes,Excellent,10,"Met Anne Marie at a central London hotel near to Euston, modern, clean and discreet",10-Oct,"I would recommend cramming with Anne Marie to really get to understand how lovely she is. She has a sexy voice, cherub cheeks and is a very pretty lady with a great smile

It is clear that passion is her preference which is perfect for me, and we had a very intimate hour where we role played a cam show that quickly became interactive.

Anne Marie was very obliging and amongst the kissing, touching, oral both ways, sex with her on top and doggy, face sitting and foot job, she was always attentive.

I cannot recommend Anne Marie highly enough if you enjoy the company of a tender lady of curvy softness with lovely skin, sweet smile and a responsive brain. Treat her well as she is a rare gem in the world of AW and it is my privejege to leave her first feedback. I just wish I could keep her for myself but that would be selfish, so I'll have to arrange another longer meeting very soon",10-Oct,,,,,,
806956,CurvyBustyKatrina,anasazi,Friday 17 May,Walsall,In-call,1 Hour,£140,Yes,Yes,Excellent,10,"Arrived early and parked up on retail park car park. Cost £2
Short walk to an appartment block across the road.
This was easy to find and very discreet. Private entrance at rear of building. Felt safe, no prying eyes.
This was just a working appartment and was clean and tidy. There was a double bed in one room and a massage table in another.
Bathroom was clean with fresh towels available.",10-Oct,"Started by undressing and requesting we started with an oil massage. I was shown to the other room where the massage table was. Started by massaging my back and shoulders, it felt really good. At the turn over I asked Katrina to remove her top and exposed those magnificent breasts. After a short while we moved to the bathroom for a shared bathing experience. I soaped up her breasts and bum and felt great sliding my hands all over her curves.
We then retired back to the bedroom where I was treated to some oral before I returned the favour. Katrina is fully shaved and tasted fresh and clean. After that it was covered sex with her on top, ideal to see those magnificent breasts bouncing about. What a sight!! Off with the condom and finished off while Katrina talked dirty and wanked me off coming across her breasts.
A quick clean up and was offered a shower, which I accepted.
Another quick drink and I got dressed.
I left a very happy man and would return again.",10-Oct,,,,,,
806956,CurvyBustyKatrina,lactoboy3,Monday 31 December,Birminghum,In-call,1 hour(s),150,Yes,Yes,Excellent,10,It's a Private Flat with secure entrance and discreet in nature with ample parking facility.,10-Oct,"Once i reached the venue on time,Katrina guided me perfectly how to find her apartment once you are infront of the private flat accomodation.Once i reached the flat door which is very discreet and secure in nature,she was there to invited me inside the flat with a nice hug and soft kiss.She was looking hot in a nice revealing bra with black stocking and suspender.She offered me drinks and asked whether i need to use the washroom or not.

Once the paper work sorted out ,we are straight in to business as katrina performed some nice by touching all right areas!I was already drooling over her boobs and started playing with those by sucking,licking and caressing them passionately.She got a very responsive nipples which easily got erected with toungue play and sucking.I must say boobs are the best part of her body and you can enjoy sucking ,playing with those for a prolonged period of time without fucking her.

So once those foreplay is over,she offered me a nice OWO and i can't control myself for long and shot my loads on her amazing tits.Then it was my part to return the pleasure to the busty lady and i stared performing oral on her in 69 position which she enjoyed through out with nice occasional moaning!Her pussy was nicely shaved with good smell.I started licking,kissing all her body from head to toes and it was delicious.She got a nice soft glowing skin with right amount of tanning.

Once done with all kissing and licking it's time to fuck her in different positions like Doggy, Missionary with protection.The position i enjoyed most was fucking her tits.It was an amazing view sliding my dick between those nice pair of tits being on top her chest and she trying to get hold of my dick by pressing it passionately with her boobs.

Finally the icing on the cake part which i request her in our communication been took place in the bathroom.Watersports!!!Time to get socked in her golden nectar.She given me plenty of it inside her bathroom.It was a nice view with so much fluid all over the place.

We both cleaned up and had some casual chit chat before leaving.

Overall a very satisfactory punt in the cold evening.Only gripe is i was hoping to cum inside her mouth which didn't happened.May be Next time!!left Katrina with a big smile and tight hug.Will miss your boobs and juicy Arse.",10-Oct,,,,,,
806956,CurvyBustyKatrina,Mark southside,Tuesday 6 March,Glasgow,In-call,30 mins,90,Yes,Yes,Excellent,10,"Great communication which made it very easy to find. On street parking available all around with other parking facilities also close at hand.
Private apartment with intercom access. Safe clean and very comfortable.",10-Oct,"That fact I was nervous wasn't help by the fact that she is soo God damn stunning. From the moment she invited me in, im sure it was my jaw I nearly tripped over and not the door.
We chatted for a bit , not sure if was actually words coming out my mouth but tried to chat.
I couldn't keep my eyes off that body as she started to move and play out our little scenario. That beautiful body in that stunning outfit would make any man crumble.
I had to fight to contain myself at every moment. We played our little scenario out with a grand finale that I still has me week at the knees.
I was only gutted that I was unable to book longer with her as she is an absolute pleasure to be with.
She never clock watched or didn't anything that could put negativity on my time with her.
till the next time beautifull. Xx",10-Oct,,,,,,
806956,CurvyBustyKatrina,Member Not Active,Wednesday 9 November,London,In-call,1.5 hour(s,£250,Yes,Yes,Excellent,9.2,"Nice clean flat, close to the tube station and easy to find. Discrete entrance too.",08-Oct,"From a practical point of view Katrina was on time, offered me a shower and dressed as requested. She looked extremely hot in her secretary outfit.
I'll keep the details for her and I. Suffice to say that I had a fantastic time. Katrina has a great body and knows how to use it to the best effect. All services I requested were provided with great skills and enthusiasm.
I was actually so impress that I felt like a teenage virgin rather than the stud I'd like to be. But she was happy to help settle my nerves and enjoyed herself nevertheless if I'm to believe the sounds coming out of her.
I will be back and with my nerves under control it will certainly be fireworks. I want to play with her great tits more, grab her hips and push myself inside and have her beg for more.
She is very sensual and I want to push boundaries further with her the next time.
Brace yourself young lady! XX",08-Oct,,,,,,
806956,CurvyBustyKatrina,Sergeant62,Wednesday 19 October,lonodon,In-call,1,-,Yes,Yes,Excellent,10,"met at the flat that K and Squirting Mercedes (SM) had rented for the days of Debauchery in London. Flat near Euston station, that was easy to find",10-Oct,"after a booking with SM the day before and meeting K in the lounge afterwards and her requesting that she wanted to fuck a fit ex army guy with SM, flashing her eyelids, pinching my bottom, letting my see that famous ass ( that a slapped) and she commented that she wanted to grab my ass and I fucked her while SM straddled me and squirted in my face....who the fuck would refuse that..

so I got back to the flat, the very next day. SM answered the door dressed in a black dress, stockings, tall heels, red lip stick, hair down and smelling utterly delightful.

Katrina wasn't in the lounge or in the bathroom, SM told me that had waited for this session and were both as horny as hell and gagging to be fucked by a fit, strong , muscled guy ( her words, not mine). Goodness my loins stirred at the thought of what was going to happen.

'Where is Kartina' I asked. she's in the bedroom waiting for you, you horny bastard. 'Seriously is she' I spluttered.

Yes Hun, she wants you to herself for about 20 mins if that's okay. 'she wants to get her own back from yesterday as we were playing when she had to listen to us fucking and moaning' then i'll come in and join...'You okay with that' she said cheekily.

'wow I am if you are' almost wetting myself at the thought,,

'you better be prepared for this hun', she is rampant right now, earlier she said that she wanted your cock all the way up to my balls buried deep in her pussy, and wants you to fuck her doggy like you have never fucked another so hard before!' SM smiled and opened the door and ushered me into the bedroom.

Nothing, but nothing prepared me, for what I set me eyes on. K was stood there, heels, stockings, no knickers, a gorgeous white lacy basque with her tits bursting out of the middle. Her legs Spread and a dildo half way up her pussy and juices dribbling down the inside of her silky toned thighs.

she smiled, flashed those gorgeous eyes at me and said.

'Okay bad boy, I have read most of your feedbacks and impressive as they are, SM and I are going to leave your breathless, legs trembling, heart pounding and a sweaty mess in the next hour' are you up for it!'

I could hardly speak. K just smouldered sex, smelt of sex, breathed sex and wanted sex, I was a mess already.

she walked over to me nibbled my ear and planted a s smouldering DFK. whispered in my ear to get down on my knees take off your shirt, and pull out the dildo with my teeth..

I gladly did as I was told, the smell of her freshly showered body, the juices that dribbled out of her cunt, mixed with her seductive perfume got me rock hard in seconds. I licked all the juices of the dildo and handed it back to Kat. she parted her thighs more and wanted me to lick out her cunt and play with her with my fingers, as I was doing this she was moaning and pushing my face further and deeper into her crotch.

I stood up and kissed her passionately, through her back onto the back and straddled her face so she could suck my cock...god Kat can give an amazing BJ, spitting on my cock for more saliva dripping lubrication.

she asked me to fuck her doggy and wanted in as deep as I could. No reservation on my part...she put on a Condom, spray a little lube onto her swollen lips and presented that amazing ass up in the air....MY GOD what a photo opportunity that would have been. I mounted her ass and slowly sank my cock into her willing pussy, her lips sucking me in with every thrust, Kat moaning to the point of almost screaming in pleasure. I pounded away at that amazing body for what seemed an eternity, all very blurred, kat asking for me to go deeper and deeper with every thrust..

then as almost forgot SM came in and said she couldn't wait another minute and wanted to watch us fucking. this felt utter bliss, SM kissing kat passionately as I thrust away inside her tight cunt...

SM wanted me to lie down so that KAT could sit astride me on top so she could power herself over my face and frig her cunt and squirt in my face...OMG OMG OMG....it was utter filth...a stunning woman riding onto of me, tits bouncing around and another lowering herself over my mouth spraying a pussy full of golden nectar into my face...

this was going to take some beating....is did actually....the girls demanded that I lying down, KAT stared fingering SM and she started squirting what seemed like pints and pints of golden sexy perfume over KAT. then KAT asked me to lick it all off.....OH GOD what next..

the girls took it in turns to swallow my cock as far down as they could manage....KSAT wanted my sperm over her tits as she missed out the day before....

by this time we were all a sweaty spunk covered, squirt soaked, filthy mess...

time flew by, and I am never going to forget this in a hurry.

girls that was utterly sensational, incredibly filthy and so, so horny its hard to really write out how great it was...till next time....WWWWWWWOOOOOOOOWWWWWWW XXXXXX",10-Oct,,,,,,
806956,CurvyBustyKatrina,littleindianlondon,Friday 10 June,London,Out-call,1hr,-,Yes,Yes,Excellent,10,A clean apartment in London which was easy to find and discrete.,10-Oct,"I like the way Katrina varies her speed. For example, I wanted role play and she phoned my wife. While she spoke to my wife she almost gave me skin burn due to how fast she was rubbing her pussy against my tongue. She said she out of breath running downstairs the lifts not working and looking for a car mechanic and dialed the wrong number. She even repeated the number about 3 times to the wife while looking into my eyes and giving me the thumbs up. She said cum on the phone lol cheeky

She finished me off with a bj, I couldn't even last 60 secs due to the excitement.

Ive had many punts but Katrina is so innocent looking you wouldn't believe how naughty she is.

Tongue riding Tongue riding Tongue riding Tongue riding Tongue ridingTongue ridingTongue ridingTongue ridingTongue riding Tongue ridingTongue ridingTongue riding",10-Oct,,,,,,
806956,CurvyBustyKatrina,Member Not Active,Friday 31 October,Walsall,In-call,1.5 hour(s,£180,Yes,Yes,Good,7.6,Very discreet private flat. Good directions. I felt totally safe.,09-Oct,"I was shown to her room and when she entered dressed in very little my eyes popped out on stalks. Guys, you can' help but notice her INCREDIBLE tits! Large, soft, but by no means saggy, smooth skin, PERFECT nipples! Next time I see her I want to cum all over them!!
We kissed passionately and undressed each other. I just had to squeeze that lovely bum and those amazing tits.
Oral both ways, we both came.
Then a prolonged fuck. Her on top, mish, doggy Oh! What a delight to do her doggy style and watch my cock sliding into her as I squeezed that wonderful arse!
I came 3 times in my hour and a half with her, if only I could have made it four or five! I loved cumming in her. She has the most amazing muscle control down there and squeezes the old fella firmly as you slide in and out of her! FANTASTIC!!!
A great punt. Oh, and did I mention her wonderful, big, biteable bum and those PERFECT tits?
As soon as I can, I will return!",10-Oct,,,,,,
